condition_name,prefix_k,layer,gen_token_pos,mean_projection,std_projection,n_records,n_prompts
harmful_k03,3,16,0,0.805654296875,0.6566714359568533,25,25
harmful_k03,3,16,1,1.339228515625,0.9652575047664035,25,25
harmful_k03,3,16,2,0.15548828125,0.730159048973992,25,25
harmful_k03,3,16,3,0.1906396484375,0.9508208277313461,25,25
harmful_k03,3,16,4,0.562158203125,0.8714024120928249,25,25
harmful_k03,3,16,5,0.7901953125,1.0379102118092458,25,25
harmful_k03,3,16,6,0.5744921875,1.0557236663619876,25,25
harmful_k03,3,16,7,0.15412109375,1.0647601312395818,25,25
harmful_k03,3,16,8,-0.075462646484375,1.1426970992297503,25,25
harmful_k03,3,16,9,-0.06810546875,1.4280697514860774,25,25
harmful_k03,3,16,10,0.15926240921020507,1.2848019401907114,25,25
harmful_k03,3,16,11,0.25615234375,1.3989501950994665,25,25
harmful_k03,3,16,12,0.68193359375,1.459940592306157,25,25
harmful_k03,3,16,13,1.100078125,1.5505770524348563,25,25
harmful_k03,3,16,14,0.7023722330729166,1.4708778570789929,24,24
harmful_k03,3,16,15,0.9083048502604166,1.2746828774225472,24,24
harmful_k03,3,16,16,0.76171875,1.351022202495403,24,24
harmful_k03,3,16,17,0.6792195638020834,1.2932699500640694,24,24
harmful_k03,3,16,18,0.73187255859375,1.3642729733768506,24,24
harmful_k03,3,16,19,0.8492431640625,0.9942248230481038,24,24
harmful_k03,3,16,20,0.7389322916666666,1.0766825618504259,24,24
harmful_k03,3,16,21,0.6055399576822916,1.09644916092613,24,24
harmful_k03,3,16,22,0.64801025390625,1.0402643044316937,24,24
harmful_k03,3,16,23,0.45263671875,1.0063493919063862,24,24
harmful_k03,3,16,24,0.4781392415364583,1.0723063529499457,24,24
harmful_k03,3,16,25,0.264404296875,1.1188338557077322,24,24
harmful_k03,3,16,26,0.13006591796875,1.1004912837280723,24,24
harmful_k03,3,16,27,0.021728515625,1.139051040402479,24,24
harmful_k03,3,16,28,-0.047709147135416664,1.263222835350934,24,24
harmful_k03,3,16,29,-0.07396399456521739,0.9357534249794247,23,23
harmful_k03,3,16,30,-0.23383364470108695,0.9819571564879805,23,23
harmful_k03,3,16,31,-0.6303923233695652,1.0156465058965316,23,23
harmful_k03,3,16,32,-0.2722061820652174,1.1218448366273654,23,23
harmful_k03,3,16,33,-0.2745414402173913,1.1302685645852855,23,23
harmful_k03,3,16,34,-0.14618716032608695,1.1133418137146711,23,23
harmful_k03,3,16,35,-0.2545219089673913,1.0973030760474296,23,23
harmful_k03,3,16,36,-0.36587126358695654,1.035321381784494,23,23
harmful_k03,3,16,37,-0.10270889945652174,0.9474647904208537,23,23
harmful_k03,3,16,38,-0.13392440132472827,1.168520909119871,23,23
harmful_k03,3,16,39,-0.4903617527173913,1.0553209062767863,23,23
harmful_k03,3,16,40,-0.6356997282608695,1.1528627414871477,23,23
harmful_k03,3,16,41,-0.584610648777174,0.9890271053149483,23,23
harmful_k03,3,16,42,-0.5956447435461957,1.236286258423937,23,23
harmful_k03,3,16,43,-0.47404280952785327,1.29826812303548,23,23
harmful_k03,3,16,44,-0.5867017663043478,1.294089526045101,23,23
harmful_k03,3,16,45,-0.7048737899116848,1.104193691887482,23,23
harmful_k03,3,16,46,-0.4898522418478261,1.2174392352315697,23,23
harmful_k03,3,20,0,0.6499609375,0.9233395459440071,25,25
harmful_k03,3,20,1,0.381591796875,1.0587201952051253,25,25
harmful_k03,3,20,2,-0.547939453125,0.8309369446617625,25,25
harmful_k03,3,20,3,-0.6398828125,1.1232931480285218,25,25
harmful_k03,3,20,4,-0.35505859375,1.0122807897305406,25,25
harmful_k03,3,20,5,-0.081142578125,1.1991918829642985,25,25
harmful_k03,3,20,6,-0.3396875,1.3903668819145794,25,25
harmful_k03,3,20,7,-0.6685546875,1.5557502424176681,25,25
harmful_k03,3,20,8,-0.90474609375,1.6420090418383515,25,25
harmful_k03,3,20,9,-0.9007421875,1.8151233341148187,25,25
harmful_k03,3,20,10,-0.519453125,1.9498712912900291,25,25
harmful_k03,3,20,11,-0.536708984375,1.8743933767656158,25,25
harmful_k03,3,20,12,0.0899609375,2.0640779550971464,25,25
harmful_k03,3,20,13,0.5569921875,1.9919106460380507,25,25
harmful_k03,3,20,14,0.20654296875,1.9088220299267833,24,24
harmful_k03,3,20,15,0.7628173828125,1.8389272520803326,24,24
harmful_k03,3,20,16,0.3045908610026042,1.915172379335584,24,24
harmful_k03,3,20,17,0.3720550537109375,1.6770274632103703,24,24
harmful_k03,3,20,18,0.4503275553385417,1.8278514567805908,24,24
harmful_k03,3,20,19,0.365264892578125,1.4334054482481453,24,24
harmful_k03,3,20,20,0.3668619791666667,1.570004552304445,24,24
harmful_k03,3,20,21,0.2672220865885417,1.5799303717798663,24,24
harmful_k03,3,20,22,0.2531929016113281,1.544769286383616,24,24
harmful_k03,3,20,23,0.0479736328125,1.3703430475721476,24,24
harmful_k03,3,20,24,0.10648600260416667,1.334901548505387,24,24
harmful_k03,3,20,25,-0.22614288330078125,1.3091165832807443,24,24
harmful_k03,3,20,26,-0.4075978597005208,1.3001187392093645,24,24
harmful_k03,3,20,27,-0.4061686197916667,1.4745428985482365,24,24
harmful_k03,3,20,28,-0.4792683919270833,1.614348867271082,24,24
harmful_k03,3,20,29,-0.6262724503226902,1.129652113490774,23,23
harmful_k03,3,20,30,-0.7638629415760869,1.1991664319440862,23,23
harmful_k03,3,20,31,-1.2144801927649456,1.3536850664791633,23,23
harmful_k03,3,20,32,-0.6948029891304348,1.6812189744434942,23,23
harmful_k03,3,20,33,-0.7087083899456522,1.6857602407109273,23,23
harmful_k03,3,20,34,-0.7122855808423914,1.5161995230000296,23,23
harmful_k03,3,20,35,-0.8487018087635869,1.3727758014099705,23,23
harmful_k03,3,20,36,-0.9296238111413043,1.3788003524080783,23,23
harmful_k03,3,20,37,-0.4714766792629076,1.2575642163141048,23,23
harmful_k03,3,20,38,-0.4048913043478261,1.6450138126648879,23,23
harmful_k03,3,20,39,-1.0793403957201086,1.3328474918151183,23,23
harmful_k03,3,20,40,-1.275093410326087,1.3370453895618721,23,23
harmful_k03,3,20,41,-1.2490712041440217,1.0951605449985657,23,23
harmful_k03,3,20,42,-1.1015200407608696,1.4572715768447437,23,23
harmful_k03,3,20,43,-1.0153702445652173,1.5507683417833857,23,23
harmful_k03,3,20,44,-1.0925133746603262,1.6437507529774338,23,23
harmful_k03,3,20,45,-1.136527683423913,1.303640002112853,23,23
harmful_k03,3,20,46,-0.8877802309782609,1.5796046125399472,23,23
harmful_k03,3,24,0,-0.393369140625,1.7039964372477499,25,25
harmful_k03,3,24,1,-2.596796875,1.8232211845726094,25,25
harmful_k03,3,24,2,-3.2428125,1.753330034221451,25,25
harmful_k03,3,24,3,-2.7403125,1.755516845877263,25,25
harmful_k03,3,24,4,-2.74806640625,1.911691385418098,25,25
harmful_k03,3,24,5,-2.920703125,1.957308832661414,25,25
harmful_k03,3,24,6,-3.03892578125,1.8885884285671404,25,25
harmful_k03,3,24,7,-3.36484375,2.3524112964950676,25,25
harmful_k03,3,24,8,-3.6026171875,2.3638206977247203,25,25
harmful_k03,3,24,9,-3.763359375,2.5202006035135116,25,25
harmful_k03,3,24,10,-3.411640625,2.8710792056037504,25,25
harmful_k03,3,24,11,-3.281598663330078,2.760129712768676,25,25
harmful_k03,3,24,12,-2.8489453125,2.891791563240878,25,25
harmful_k03,3,24,13,-2.099580078125,2.558091892711975,25,25
harmful_k03,3,24,14,-2.6185709635416665,2.6287239186124034,24,24
harmful_k03,3,24,15,-1.833221435546875,2.368379884919683,24,24
harmful_k03,3,24,16,-2.51318359375,2.484765263886181,24,24
harmful_k03,3,24,17,-2.3736165364583335,2.183300729624842,24,24
harmful_k03,3,24,18,-2.5073038736979165,2.2572281115947312,24,24
harmful_k03,3,24,19,-2.4237060546875,2.0195896626895857,24,24
harmful_k03,3,24,20,-2.181884765625,2.2640396404998104,24,24
harmful_k03,3,24,21,-1.931243896484375,2.2057437780794538,24,24
harmful_k03,3,24,22,-2.2642415364583335,2.1849839409093277,24,24
harmful_k03,3,24,23,-2.595062255859375,2.100005509254409,24,24
harmful_k03,3,24,24,-2.259521484375,1.8897713513540557,24,24
harmful_k03,3,24,25,-2.89599609375,1.9081436507172254,24,24
harmful_k03,3,24,26,-2.9163411458333335,1.6866872471398746,24,24
harmful_k03,3,24,27,-3.135986328125,1.9158110923430076,24,24
harmful_k03,3,24,28,-3.3076985677083335,2.0140692047907547,24,24
harmful_k03,3,24,29,-3.595108695652174,1.5927812413569782,23,23
harmful_k03,3,24,30,-3.989130434782609,1.596961481259135,23,23
harmful_k03,3,24,31,-4.08984375,1.616358260030609,23,23
harmful_k03,3,24,32,-3.4392806343410327,2.185631356767145,23,23
