condition,layer,token_position,n_prompts,n_rows,mean_projection,std_projection,min_projection,max_projection,token_window
harmful_k00,24,10,14,14,1.5142299107142858,2.708444877986705,-6.59375,3.1875,generated_token
harmful_k00,24,11,14,14,0.79052734375,2.9737487161339833,-5.8125,3.359375,generated_token
harmful_k00,24,12,14,14,0.47935267857142855,2.7527449681617564,-5.75,2.28125,generated_token
harmful_k00,24,13,14,14,-0.05524553571428571,2.644907315618396,-6.65625,1.640625,generated_token
harmful_k00,24,14,14,14,-0.5581752232142857,2.24442875403694,-6.125,1.234375,generated_token
harmful_k00,24,15,14,14,-0.6233258928571429,1.96987679449523,-4.15625,1.03125,generated_token
harmful_k00,24,16,14,14,-0.6125390189034599,1.4354646762209635,-4.625,0.44921875,generated_token
harmful_k00,24,17,7,7,-0.8241489955357143,2.1276869602395125,-3.765625,2.5625,generated_token
harmful_k00,24,18,4,4,-0.5859375,2.873711781136318,-3.6875,3.03125,generated_token
harmful_k00,24,19,4,4,-0.423370361328125,0.8922577351818424,-1.515625,0.5546875,generated_token
harmful_k00,24,20,4,4,-1.8271484375,3.1784945662886432,-4.90625,2.25,generated_token
harmful_k00,24,21,4,4,-1.75390625,3.0333802383764743,-4.75,2.453125,generated_token
harmful_k00,24,22,4,4,-1.5859375,3.4166150593155304,-3.875,3.5,generated_token
harmful_k00,24,23,4,4,-0.9658203125,2.874878590549589,-3.984375,2.203125,generated_token
harmful_k00,24,24,3,3,-0.5794270833333334,2.611527033296424,-3.25,1.96875,generated_token
harmful_k00,24,25,3,3,-1.0625,2.443065061460961,-3.09375,1.6484375,generated_token
harmful_k00,24,26,3,3,-1.8255208333333333,2.1847126959401515,-3.96875,0.3984375,generated_token
harmful_k00,24,27,3,3,-1.140625,1.758402678702677,-2.40625,0.8671875,generated_token
harmful_k00,24,28,3,3,-1.9140625,1.4160035021032786,-2.96875,-0.3046875,generated_token
harmful_k00,24,29,2,2,-2.9453125,1.3589708450928961,-3.90625,-1.984375,generated_token
harmful_k00,24,30,2,2,-2.5,0.08838834764831845,-2.5625,-2.4375,generated_token
harmful_k00,24,31,2,2,-3.9921875,0.18782523875267668,-4.125,-3.859375,generated_token
harmful_k00,24,32,2,2,-4.234375,0.4640388251536718,-4.5625,-3.90625,generated_token
harmful_k00,24,33,2,2,-4.453125,0.06629126073623882,-4.5,-4.40625,generated_token
harmful_k00,24,34,2,2,-4.6953125,1.756718409510329,-5.9375,-3.453125,generated_token
harmful_k00,24,35,2,2,-4.1171875,1.823009670246568,-5.40625,-2.828125,generated_token
harmful_k00,24,36,2,2,-5.984375,0.508232998977831,-6.34375,-5.625,generated_token
harmful_k00,24,37,2,2,-5.75,0.04419417382415922,-5.78125,-5.71875,generated_token
harmful_k00,24,38,2,2,-6.0625,0.08838834764831845,-6.125,-6.0,generated_token
harmful_k00,24,39,2,2,-6.0,0.2209708691207961,-6.15625,-5.84375,generated_token
harmful_k00,24,40,2,2,-4.265625,0.2872621298570349,-4.46875,-4.0625,generated_token
harmful_k00,24,41,2,2,-4.3203125,2.4196310168727173,-6.03125,-2.609375,generated_token
harmful_k00,24,42,2,2,-5.984375,0.8617863895711048,-6.59375,-5.375,generated_token
harmful_k00,24,43,2,2,-7.03125,0.7513009550107067,-7.5625,-6.5,generated_token
harmful_k00,24,44,2,2,-6.5625,0.5745242597140698,-6.96875,-6.15625,generated_token
harmful_k00,24,45,2,2,-5.75,1.0606601717798212,-6.5,-5.0,generated_token
harmful_k00,24,46,2,2,-5.5234375,3.679164970861255,-8.125,-2.921875,generated_token
harmful_k00,27,0,25,25,4.49625,0.40947438361066385,3.03125,5.21875,generated_token
harmful_k00,27,1,25,25,2.599375,1.4052812780285677,-1.7578125,3.90625,generated_token
harmful_k00,27,2,25,25,1.81375,1.634034194569819,-4.03125,2.8125,generated_token
harmful_k00,27,3,25,25,0.66859375,2.5148450519818715,-7.78125,2.3125,generated_token
harmful_k00,27,4,25,25,0.3972998046875,2.680975071461873,-8.375,2.4375,generated_token
harmful_k00,27,5,25,25,1.465625,1.9977200546289429,-5.15625,2.953125,generated_token
harmful_k00,27,6,25,25,2.2726953125,3.055381719171836,-7.46875,4.6875,generated_token
harmful_k00,27,7,20,20,0.790087890625,3.554141388968372,-8.8125,4.8125,generated_token
harmful_k00,27,8,14,14,-0.33021763392857145,2.9602507806095537,-7.71875,2.453125,generated_token
harmful_k00,27,9,14,14,0.15841238839285715,2.6896471151794956,-7.21875,1.9375,generated_token
harmful_k00,27,10,14,14,0.7622767857142857,3.7423144830080943,-10.125,3.234375,generated_token
harmful_k00,27,11,14,14,-0.10770089285714286,3.94045502402722,-9.5,3.09375,generated_token
harmful_k00,27,12,14,14,-1.1344495500837053,2.807552961491552,-7.5,1.2734375,generated_token
harmful_k00,27,13,14,14,-2.0106026785714284,2.8282783192989607,-9.75,0.16796875,generated_token
harmful_k00,27,14,14,14,-2.0702950613839284,2.7366035191128817,-9.1875,0.1650390625,generated_token
harmful_k00,27,15,14,14,-1.4973493303571428,2.3386985586571414,-5.875,0.78515625,generated_token
harmful_k00,27,16,14,14,-0.9341517857142857,2.688991118345566,-7.1875,1.1640625,generated_token
harmful_k00,27,17,7,7,-1.6253487723214286,2.8401870305175825,-6.25,1.375,generated_token
harmful_k00,27,18,4,4,-1.458984375,3.7773599081867433,-4.28125,3.890625,generated_token
harmful_k00,27,19,4,4,-1.8270263671875,1.3576451765122417,-3.09375,0.09814453125,generated_token
harmful_k00,27,20,4,4,-3.6162109375,3.259417656058264,-6.59375,0.51953125,generated_token
harmful_k00,27,21,4,4,-3.630859375,3.7051098704381533,-6.25,1.8203125,generated_token
harmful_k00,27,22,4,4,-3.265625,4.611660803288045,-6.28125,3.453125,generated_token
harmful_k00,27,23,4,4,-2.01953125,4.44690034617396,-6.9375,1.8984375,generated_token
harmful_k00,27,24,3,3,-2.72271728515625,2.5337398220809626,-5.03125,-0.01190185546875,generated_token
harmful_k00,27,25,3,3,-3.5143229166666665,3.6112015411270004,-6.78125,0.36328125,generated_token
harmful_k00,27,26,3,3,-4.360026041666667,3.6054075600283393,-7.5625,-0.455078125,generated_token
harmful_k00,27,27,3,3,-3.677734375,3.4951721681638834,-6.34375,0.279296875,generated_token
harmful_k00,27,28,3,3,-4.42822265625,3.9385692718891723,-7.3125,0.05908203125,generated_token
harmful_k00,27,29,2,2,-6.90625,1.5467960838455728,-8.0,-5.8125,generated_token
harmful_k00,27,30,2,2,-6.4375,0.8396893026590252,-7.03125,-5.84375,generated_token
harmful_k00,27,31,2,2,-8.59375,0.397747564417433,-8.875,-8.3125,generated_token
harmful_k00,27,32,2,2,-6.84375,2.5190679079770755,-8.625,-5.0625,generated_token
harmful_k00,27,33,2,2,-6.9375,1.8561553006146871,-8.25,-5.625,generated_token
harmful_k00,27,34,2,2,-6.421875,2.7621358640099514,-8.375,-4.46875,generated_token
harmful_k00,27,35,2,2,-6.234375,0.4198446513295126,-6.53125,-5.9375,generated_token
harmful_k00,27,36,2,2,-8.9375,0.795495128834866,-9.5,-8.375,generated_token
harmful_k00,27,37,2,2,-8.03125,0.397747564417433,-8.3125,-7.75,generated_token
harmful_k00,27,38,2,2,-8.9375,0.5303300858899106,-9.3125,-8.5625,generated_token
harmful_k00,27,39,2,2,-8.90625,0.397747564417433,-9.1875,-8.625,generated_token
harmful_k00,27,40,2,2,-5.8125,0.30935921676911454,-6.03125,-5.59375,generated_token
harmful_k00,27,41,2,2,-6.578125,2.6295533425374735,-8.4375,-4.71875,generated_token
harmful_k00,27,42,2,2,-8.046875,0.11048543456039805,-8.125,-7.96875,generated_token
harmful_k00,27,43,2,2,-9.34375,1.193242693252299,-10.1875,-8.5,generated_token
harmful_k00,27,44,2,2,-9.0625,0.9722718241315028,-9.75,-8.375,generated_token
harmful_k00,27,45,2,2,-8.59375,0.2209708691207961,-8.75,-8.4375,generated_token
harmful_k00,27,46,2,2,-8.953125,4.662485338448798,-12.25,-5.65625,generated_token
